Scenario,Distribution,Target_Skewness,Target_ExcessKurtosis,Achieved_Skewness,Achieved_ExcessKurtosis,Lambda,L,Method,Shift_Size,ARL1,SDRL1,MRL1
Skewness,Skew-Normal,1.5,NA,1.023273482,0.960679726,0.2,2.8537,EWMA,0.75,17.369,17.94377432,12
Skewness,Skew-Normal,1.5,NA,0.987163942,0.793686584,0.2,2.8537,WV,0.75,14.2702,13.57317999,10
Skewness,Skew-Normal,1.5,NA,1.003319995,0.915538062,0.2,2.8537,WSD,0.75,12.0851,11.11317274,9
Skewness,Skew-Normal,1.5,NA,1.010095773,0.969852331,0.2,2.8537,SC,0.75,66.2524,117.9417293,32
Skewness,Skew-Normal,1.5,NA,0.986241407,0.789705738,0.3,2.9286,EWMA,0.75,19.4457,21.82198138,13
Skewness,Skew-Normal,1.5,NA,1.011533427,1.005292191,0.3,2.9286,WV,0.75,15.4985,16.73935537,10
Skewness,Skew-Normal,1.5,NA,0.964855602,0.811969078,0.3,2.9286,WSD,0.75,12.6477,13.50689558,9
Skewness,Skew-Normal,1.5,NA,0.986939537,0.834550503,0.3,2.9286,SC,0.75,96.0777,176.6374981,42
Skewness,Skew-Normal,1.5,NA,0.999076782,0.81362978,0.1,2.6952,EWMA,1,9.9256,5.676238773,9
Skewness,Skew-Normal,1.5,NA,0.97708421,0.787799053,0.1,2.6952,WV,1,9.0315,5.262288183,8
Skewness,Skew-Normal,1.5,NA,0.984464034,0.831691721,0.1,2.6952,WSD,1,8.0647,4.522339999,7
Skewness,Skew-Normal,1.5,NA,0.984842714,0.833857846,0.1,2.6952,SC,1,18.8818,14.8342588,15
Skewness,Skew-Normal,1.5,NA,1.029747473,1.091671817,0.2,2.8537,EWMA,1,10.4031,8.114850305,8
Skewness,Skew-Normal,1.5,NA,0.98512988,0.809425246,0.2,2.8537,WV,1,8.7465,6.667419531,7
Skewness,Skew-Normal,1.5,NA,1.027415006,1.023803873,0.2,2.8537,WSD,1,7.6366,5.553235479,6
Skewness,Skew-Normal,1.5,NA,0.990684794,0.90744062,0.2,2.8537,SC,1,26.6187,33.20641168,17
Skewness,Skew-Normal,1.5,NA,0.98202872,0.802910301,0.3,2.9286,EWMA,1,11.6628,11.73879364,8
Skewness,Skew-Normal,1.5,NA,0.972064311,0.810808448,0.3,2.9286,WV,1,9.2398,8.198610717,7
Skewness,Skew-Normal,1.5,NA,1.021538632,0.973419969,0.3,2.9286,WSD,1,7.6917,6.405353539,6
Skewness,Skew-Normal,1.5,NA,1.005219607,0.915088444,0.3,2.9286,SC,1,41.3315,74.54815726,22
Skewness,Skew-Normal,1.5,NA,0.993816283,0.863137848,0.1,2.6952,EWMA,1.5,5.8209,2.358978522,5
Skewness,Skew-Normal,1.5,NA,0.984770452,0.852585843,0.1,2.6952,WV,1.5,5.3118,2.145935988,5
Skewness,Skew-Normal,1.5,NA,0.97760169,0.747805561,0.1,2.6952,WSD,1.5,4.8853,2.014931737,5
Skewness,Skew-Normal,1.5,NA,0.972258627,0.754754832,0.1,2.6952,SC,1.5,9.0622,3.862722255,8
Skewness,Skew-Normal,1.5,NA,1.003266664,0.887799463,0.2,2.8537,EWMA,1.5,5.3493,2.743654912,5
Skewness,Skew-Normal,1.5,NA,0.959765951,0.689475482,0.2,2.8537,WV,1.5,4.788,2.52132737,4
Skewness,Skew-Normal,1.5,NA,0.980724346,0.816934062,0.2,2.8537,WSD,1.5,4.3011,2.221200613,4
Skewness,Skew-Normal,1.5,NA,0.95440802,0.704666242,0.2,2.8537,SC,1.5,9.4968,6.834153958,8
Skewness,Skew-Normal,1.5,NA,0.965790317,0.74554428,0.3,2.9286,EWMA,1.5,5.4726,3.611862926,5
Skewness,Skew-Normal,1.5,NA,1.023963875,0.915743586,0.3,2.9286,WV,1.5,4.7054,3.019059839,4
Skewness,Skew-Normal,1.5,NA,0.960506548,0.678692991,0.3,2.9286,WSD,1.5,4.1678,2.581299958,4
Skewness,Skew-Normal,1.5,NA,1.004562824,0.991200147,0.3,2.9286,SC,1.5,11.9507,11.96002399,9
Skewness,Skew-Normal,2,NA,0.992416289,0.844906636,0.1,2.6952,EWMA,0.25,106.9579,185.2997586,51
Skewness,Skew-Normal,2,NA,1.00892763,0.944355845,0.1,2.6952,WV,0.25,79.9307,138.8589647,40
Skewness,Skew-Normal,2,NA,1.006773035,0.915256324,0.1,2.6952,WSD,0.25,59.8859,92.41454607,32
Skewness,Skew-Normal,2,NA,0.971984018,0.710188548,0.1,2.6952,SC,0.25,296.8311,390.3277732,148
Skewness,Skew-Normal,2,NA,0.967964494,0.767555331,0.2,2.8537,EWMA,0.25,107.2727,190.5993997,49
Skewness,Skew-Normal,2,NA,0.973502881,0.797142347,0.2,2.8537,WV,0.25,73.3677,121.2214097,38
Skewness,Skew-Normal,2,NA,0.968549301,0.73737047,0.2,2.8537,WSD,0.25,54.4241,84.07313524,30
